STRIKER,Batting Postion
Saqlain Arshad,2
Sarfaraj Patel,4
Sarfaraz Ali,2
Sarfraz Ahmed,5
Saud Islam,1
Sayed Monib,8
SC Getkate,6
SC Kuggeleijn,7
SC Williams,4
SD Hope,3
SDJJ Dima,6
SE Rutherford,6
Sediqullah Atal,2
SH Obed,9
Shadab Khan,7
Shafiq Sharif,4
Shahab Alam,11
Shahadat Hossain,8
Shahbaz Ahmed,6
Shaheen Shah Afridi,9
Shahid Wasif,4
Shahidullah,4
Shahil Momin,5
Shahnawaz Dhani,11
Shahrukh Quddus,11
Shaik Basha,7
Shakeel Ahmed,9
Shakib Al Hasan,4
Shamim Hossain,6
Shan Masood,4
Sharafuddin Ashraf,7
Shariz Ahmad,10
Sharjeel Khan,2
Shashank Singh,6
Shehzad Patel,5
Shiraz Khan,7
Shivam Mavi,9
Shoaib Khan,4
Shoaib Malik,5
Shoriful Islam,10
Shubman Gill,2
SI Kamea,11
Sikandar Raza,4
Simarjeet Singh,8
Simi Singh,7
SJ Baard,1
SJ Modani,6
SJ Myburgh,1
SK Atai,8
SK Awiah,3
SK Raina,3
SKDT Madusanka,3
SM Curran,6
SM Sharif,9
SM Sharma,8
SMLD Samarakoon,8
SN Khan,5
SN Netravalkar,10
SN Thakur,8
SO Hetmyer,4
SO Ngoche,7
SO Olayinka,2
Sohaib Maqsood,4
Sohail Ahmed,4
Sompal Kami,8
Soumya Sarkar,3
SP Goswami,3
SP Jackson,6
SP Narine,6
SPD Smith,4
SPS Shikongo,10
SR Bhudia,6
SR Mohan,6
SR Rocket,9
SR Taylor,1
SR Watson,2
SS Cottrell,10
SS Iyer,3
SS McKechnie,7
SS Prabhudessai,6
SS Tiwary,5
SSB Magala,8
SSD Arachchige,4
SSJ Brooks,3
ST Doheny,3
Sufiyan Muqeem,11
Sukhdeep Singh,4
Sulaimon Runsewe,2
Sultan Ahmed,7
Suraj Kumar,6
Surya Anand,6
SV Samson,3
SW Billings,4
Swapnil Singh,8
Syazrul Idrus,9
Syed Aqeel Israr,11
Syed Aziz,3
T Banton,2
T Bavuma,2
T Bharaj,3
T Bukenya,10
T Gwandu,9
T Lungameni,10
T Manders,2
T Marumani,2
T Munyonga,6
T Musekiwa,6
T Natarajan,11
T Rajiv,1
T Rossi,5
T Sandeep,1
T Sangha,10
T Shamsi,11
T Stubbs,5
T Sumiya,11
T Suri,4
T Takada,7
T Tshose,7
T Tumursukh,9
T van der Gugten,9
TA Blundell,5
TA Boult,9
Talha Khan,3
Tanvir Islam,10
Taskin Ahmed,9
Tayyab Tahir,3
TD Chaoana,9
TE Kane,9
TG Southee,9
TG Thamae,9
TH David,5
Tilak Varma,4
TJ Stephenson,10
TJG Pringle,7
TK Curran,7
TK Joseph,7
TK Musakanda,4
TL Chatara,10
TL Seifert,3
TLW Cooper,4
TM Head,3
TO Thilappan,6
Towhid Hridoy,4
TP Ura,2
TP Visee,2
TS Braat,8
TS Chisoro,9
TS Kamunhukamwe,1
TS Mills,10
TSS Mackintosh,5
TU Deshpande,10
TW Samuels,5
TWM Latham,4
U Aryaman Sunil,6
Umair Qasim,5
Umair Tariq,8
Umer Imtiaz,1
Umran Malik,10
Usama Mir,9
Usman Ghani,3
Usman Patel,4
Usman Qadir,10
UT Yadav,9
Uzair Amir,7
V Aravind,3
V Balakrishnan,4
V Baskaran,9
V Ganesan,4
V Kohli,3
V Mbazo,5
V Mitari,10
V Shankar,5
V Viyaskanth,9
VB Chikkannaiah,2
VD Adewoye,6
VE Tembo,6
VG Arora,10
Vijaykumar Vyshak,10
Vikramjit Singh,2
Vimal Kumar,4
Virandeep Singh,2
Virat Singh,4
Vishil Patel,11
Vishnu Vinod,5
Vivrant Sharma,1
VJ Kingma,11
VL Mukesh,8
VM Nyauchi,10
VM Vaghela,6
VR Aaron,10
VR Iyer,2
Vraj Patel,10
W Barresi,3
W Dlamini,6
W Madhevere,3
W McClintock,6
W Miyauchi,5
W Nalisa,9
W Niyitanga,4
WA Young,3
Wahab Riaz,9
Waseem Muhammad,1
Washington Sundar,7
WD Parnell,7
WG Jacks,3
WIA Fernando,3
WJ Lubbe,3
WL Madsen,4
WP Masakadza,9
WP Saha,3
XM Marshall,2
Y Cariah,10
Y Jalloh,4
Yash Dayal,10
Yasim Murtaza,5
Yasin Patel,9
Yasir Ali Chowdhury,6
Yasir Mohammad,8
YBK Jaiswal,1
YM Nkanya,11
YS Chahal,11
Yudhvir Singh,9
YV Dhull,4
YYM Jakda,6
Z Abbasi,5
Z Bimenyimana,9
Zahid Abbas,7
Zahir Khan,11
Zahoor Khan,11
Zain Ul Abidin,7
Zakir Hasan,2
Zaman Khan,11
Zawar Farid,5
ZE Green,6
Zeeshan Ali,7
Zeeshan Maqsood,3
ZR Jaboneke,6
Zubaidi Zulkifle,2
Zuhaib Zubair,8
